品目,品目名,輸出入,年月,暦年月,第１単位,第２単位,当月第１数量,当月第２数量,当月金額,累計第１数量,累計第２数量,累計金額
8708.10-000,バンパー及びその部分品,輸出,202201,'2022/01,,KG,,1316023,3245807,,1316023,3245807
8708.10-000,バンパー及びその部分品,輸出,202202,'2022/02,,KG,,1618972,3758048,,2934995,7003855
8708.10-000,バンパー及びその部分品,輸出,202203,'2022/03,,KG,,1667812,4147512,,4602807,11151367
8708.10-000,バンパー及びその部分品,輸出,202204,'2022/04,,KG,,1734390,4491396,,6337197,15642763
8708.10-000,バンパー及びその部分品,輸出,202205,'2022/05,,KG,,1281313,3387554,,7618510,19030317
8708.10-000,バンパー及びその部分品,輸出,202206,'2022/06,,KG,,1599534,4268521,,9218044,23298838
8708.10-000,バンパー及びその部分品,輸出,202207,'2022/07,,KG,,1494580,3909427,,10712624,27208265
8708.10-000,バンパー及びその部分品,輸出,202208,'2022/08,,KG,,1343867,3640420,,12056491,30848685
8708.10-000,バンパー及びその部分品,輸出,202209,'2022/09,,KG,,1457490,3971497,,13513981,34820182
8708.10-000,バンパー及びその部分品,輸出,202210,'2022/10,,KG,,1612226,4506837,,15126207,39327019
8708.10-000,バンパー及びその部分品,輸出,202211,'2022/11,,KG,,1485026,4120074,,16611233,43447093
8708.10-000,バンパー及びその部分品,輸出,202212,'2022/12,,KG,,1670496,4549274,,18281729,47996367
8708.10-000,バンパー及びその部分品,輸出,202301,'2023/01,,KG,,1070342,2937036,,1070342,2937036
8708.10-000,バンパー及びその部分品,輸出,202302,'2023/02,,KG,,1208339,3335911,,2278681,6272947
8708.10-000,バンパー及びその部分品,輸出,202303,'2023/03,,KG,,1483992,4309800,,3762673,10582747
8708.10-000,バンパー及びその部分品,輸出,202304,'2023/04,,KG,,1427992,4053503,,5190665,14636250
8708.10-000,バンパー及びその部分品,輸出,202305,'2023/05,,KG,,1138233,3150334,,6328898,17786584
8708.10-000,バンパー及びその部分品,輸出,202306,'2023/06,,KG,,1262995,3582587,,7591893,21369171
8708.10-000,バンパー及びその部分品,輸出,202307,'2023/07,,KG,,1295271,3816956,,8887164,25186127
8708.10-000,バンパー及びその部分品,輸出,202308,'2023/08,,KG,,1053185,3259529,,9940349,28445656
8708.10-000,バンパー及びその部分品,輸出,202309,'2023/09,,KG,,1337238,3976369,,11277587,32422025
8708.10-000,バンパー及びその部分品,輸出,202310,'2023/10,,KG,,1394266,4233501,,12671853,36655526
8708.10-000,バンパー及びその部分品,輸出,202311,'2023/11,,KG,,1299259,3918711,,13971112,40574237
8708.10-000,バンパー及びその部分品,輸出,202312,'2023/12,,KG,,1511425,4544575,,15482537,45118812
8708.10-000,バンパー及びその部分品,輸出,202401,'2024/01,,KG,,1102937,3215522,,1102937,3215522
8708.10-000,バンパー及びその部分品,輸出,202402,'2024/02,,KG,,1251191,3935251,,2354128,7150773
8708.10-000,バンパー及びその部分品,輸出,202403,'2024/03,,KG,,1438094,4579512,,3792222,11730285
8708.10-000,バンパー及びその部分品,輸出,202404,'2024/04,,KG,,1448685,4343526,,5240907,16073811
8708.10-000,バンパー及びその部分品,輸出,202405,'2024/05,,KG,,1211664,3704453,,6452571,19778264
8708.10-000,バンパー及びその部分品,輸出,202406,'2024/06,,KG,,1456944,4417654,,7909515,24195918
8708.10-000,バンパー及びその部分品,輸出,202407,'2024/07,,KG,,1547748,4807398,,9457263,29003316
8708.10-000,バンパー及びその部分品,輸出,202408,'2024/08,,KG,,1285967,3918470,,10743230,32921786
8708.10-000,バンパー及びその部分品,輸出,202409,'2024/09,,KG,,1269864,3816402,,12013094,36738188
8708.10-000,バンパー及びその部分品,輸出,202410,'2024/10,,KG,,1484091,4470656,,13497185,41208844
8708.10-000,バンパー及びその部分品,輸出,202411,'2024/11,,KG,,1388549,4163896,,14885734,45372740
8708.10-000,バンパー及びその部分品,輸出,202412,'2024/12,,KG,,1605982,5005698,,16491716,50378438
