タイトル,統計品別推移表
輸出入,輸出
推移表の種類,月別推移表
統計年,'2025年-2026年
全国分・税関別,全国分
世界・国別,世界
品目,品目コード指定,'8708
単位:(1000円)


品目,暦年月,第１単位,第２単位,当月第１数量,当月第２数量,当月金額,累計第１数量,累計第２数量,累計金額
8708.10-000,'2025/01,,KG,,1058130,3153359,,1058130,3153359
8708.10-000,'2025/02,,KG,,1250758,3945553,,2308888,7098912
8708.10-000,'2025/03,,KG,,1368427,4154789,,3677315,11253701
8708.10-000,'2025/04,,KG,,1402531,4154248,,5079846,15407949
8708.10-000,'2025/05,,KG,,1136198,3256743,,6216044,18664692
8708.10-000,'2025/06,,KG,,1253104,3700340,,7469148,22365032
8708.10-000,'2025/07,,KG,,1322502,3907908,,8791650,26272940
8708.10-000,'2025/08,,KG,,1001056,3015057,,9792706,29287997
8708.10-000,'2025/09,,KG,,1263148,3826475,,11055854,33114472
8708.10-000,'2025/10,,KG,,1228260,3697465,,12284114,36811937
8708.10-000,'2025/11,,KG,,1200882,3912399,,13484996,40724336
8708.10-000,'2025/12,,KG,,1365901,4397701,,14850897,45122037
8708.10-000,'2026/01,,KG,,928171,3104588,,928171,3104588
8708.10-000,'2026/02,,KG,,1099439,3648191,,2027610,6752779
8708.10-000,'2026/03,,KG,,1285125,4180610,,3312735,10933389
8708.10-000,'2026/04,,KG,,1315752,4325377,,4628487,15258766
8708.10-000,'2026/05,,KG,,990628,3189424,,5619115,18448190
8708.10-000,'2026/06,,KG,,1242079,4050997,,6861194,22499187
8708.10-000,'2026/07,,KG,,1292139,4394864,,8153333,26894051
8708.21-000,'2025/01,,KG,,88624,231603,,88624,231603
8708.21-000,'2025/02,,KG,,99061,268927,,187685,500530
8708.21-000,'2025/03,,KG,,95504,243838,,283189,744368
8708.21-000,'2025/04,,KG,,97302,248208,,380491,992576
8708.21-000,'2025/05,,KG,,79536,207824,,460027,1200400
8708.21-000,'2025/06,,KG,,107730,264843,,567757,1465243
8708.21-000,'2025/07,,KG,,108593,276537,,676350,1741780
8708.21-000,'2025/08,,KG,,98381,225466,,774731,1967246
8708.21-000,'2025/09,,KG,,102234,249590,,876965,2216836
8708.21-000,'2025/10,,KG,,108639,278882,,985604,2495718
