年月,国,国名,当月輸出金額,累計輸出金額,当月輸入金額,累計輸入金額
202001,'103,大韓民国,372922963,372922963,272527384,272527384
202001,'105,中華人民共和国,896546111,896546111,1737954957,1737954957
202001,'106,台湾,340078183,340078183,257587720,257587720
202001,'107,モンゴル,2361057,2361057,184008,184008
202001,'108,香港,250389240,250389240,10735874,10735874
202001,'110,ベトナム,119538279,119538279,233435733,233435733
202001,'111,タイ,235553844,235553844,214771324,214771324
202001,'112,シンガポール,168436453,168436453,81402232,81402232
202001,'113,マレーシア,111853617,111853617,191548528,191548528
202001,'116,ブルネイ,605224,605224,29345019,29345019
202001,'117,フィリピン,85956074,85956074,87035032,87035032
202001,'118,インドネシア,103276372,103276372,164382602,164382602
202001,'120,カンボジア,3619627,3619627,16453965,16453965
202001,'121,ラオス,1291128,1291128,1652054,1652054
202001,'122,ミャンマー,5826693,5826693,13678068,13678068
202001,'123,インド,86786990,86786990,58876105,58876105
202001,'124,パキスタン,9567199,9567199,3023724,3023724
202001,'125,スリランカ,4818819,4818819,2928712,2928712
202001,'126,モルディブ,139261,139261,38334,38334
202001,'127,バングラデシュ,17594800,17594800,14859885,14859885
202001,'128,東ティモール,33183,33183,12860,12860
202001,'129,マカオ,1570689,1570689,218045,218045
202001,'130,アフガニスタン,375082,375082,1256,1256
202001,'131,ネパール,211187,211187,82721,82721
202001,'132,ブータン,47217,47217,876,876
202001,'133,イラン,664845,664845,645904,645904
202001,'134,イラク,4160407,4160407,3448155,3448155
202001,'135,バーレーン,4994267,4994267,13435699,13435699
202001,'137,サウジアラビア,47490892,47490892,267812504,267812504
202001,'138,クウェート,15776070,15776070,85132468,85132468
202001,'140,カタール,11360411,11360411,147737332,147737332
202001,'141,オマーン,16590626,16590626,32139449,32139449
202001,'143,イスラエル,11892417,11892417,11587324,11587324
202001,'144,ヨルダン,4749520,4749520,467113,467113
202001,'145,シリア,93679,93679,1942,1942
202001,'146,レバノン,391101,391101,100407,100407
202001,'147,アラブ首長国連邦,55046400,55046400,248472465,248472465
202001,'149,イエメン,2100192,2100192,37948,37948
202001,'150,アゼルバイジャン,404369,404369,30456,30456
202001,'151,アルメニア,51469,51469,159074,159074
202001,'152,ウズベキスタン,1469555,1469555,69819,69819
202001,'153,カザフスタン,2454354,2454354,5403400,5403400
202001,'154,キルギス,112761,112761,1137,1137
202001,'155,タジキスタン,8590,8590,-,0
202001,'156,トルクメニスタン,51558,51558,-,0
202001,'157,ジョージア,1250405,1250405,85109,85109
202001,'158,ヨルダン川西岸及びガザ,9100,9100,-,0
202001,'201,アイスランド,406944,406944,1019335,1019335
202001,'202,ノルウェー,8145278,8145278,16450162,16450162
202001,'203,スウェーデン,9602593,9602593,27524421,27524421
202001,'204,デンマーク,4139440,4139440,21627686,21627686
202001,'205,英国,145512952,145512952,69983325,69983325
202001,'206,アイルランド,7547286,7547286,61013595,61013595
202001,'207,オランダ,94742310,94742310,24470200,24470200
202001,'208,ベルギー,56905923,56905923,27806783,27806783
202001,'209,ルクセンブルク,2786682,2786682,868185,868185
202001,'210,フランス,52594643,52594643,92212762,92212762
202001,'211,モナコ,4000,4000,17031,17031
202001,'212,アンドラ,322,322,1158,1158
202001,'213,ドイツ,162579256,162579256,209622786,209622786
202001,'215,スイス,37234963,37234963,80645236,80645236
202001,'217,ポルトガル,3178057,3178057,3762924,3762924
202001,'218,スペイン,22465233,22465233,35348048,35348048
202001,'219,ジブラルタル（英）,584670,584670,-,0
202001,'220,イタリア,40868040,40868040,107638123,107638123
202001,'221,マルタ,3310438,3310438,2358896,2358896
202001,'222,フィンランド,3613711,3613711,17381088,17381088
202001,'223,ポーランド,22714845,22714845,9556270,9556270
202001,'224,ロシア,57207238,57207238,105336840,105336840
202001,'225,オーストリア,9773788,9773788,17019665,17019665
202001,'227,ハンガリー,15746294,15746294,9358648,9358648
202001,'228,セルビア,409961,409961,3503495,3503495
202001,'229,アルバニア,6680,6680,146619,146619
202001,'230,ギリシャ,4745948,4745948,6344961,6344961
202001,'231,ルーマニア,2852672,2852672,9295246,9295246
202001,'232,ブルガリア,1191337,1191337,1253823,1253823
202001,'233,キプロス,674109,674109,4633,4633
202001,'234,トルコ,23346368,23346368,6003238,6003238
202001,'235,エストニア,1427985,1427985,1014934,1014934
202001,'236,ラトビア,286437,286437,796534,796534
202001,'237,リトアニア,380204,380204,4385470,4385470
202001,'238,ウクライナ,4600494,4600494,4747157,4747157
202001,'239,ベラルーシ,123600,123600,210805,210805
202001,'240,モルドバ,17828,17828,172835,172835
202001,'241,クロアチア,458189,458189,1593116,1593116
202001,'242,スロベニア,1537130,1537130,1003279,1003279
202001,'243,ボスニア・ヘルツェゴビナ,11842,11842,68279,68279
202001,'244,北マケドニア,302115,302115,83670,83670
202001,'245,チェコ,13027668,13027668,11192808,11192808
202001,'246,スロバキア,1635620,1635620,3292882,3292882
202001,'247,モンテネグロ,29074,29074,12352,12352
202001,'248,コソボ,6250,6250,777,777
202001,'249,フェロー諸島（デンマーク）,-,0,150255,150255
202001,'250,バチカン,3952,3952,-,0
202001,'301,グリーンランド（デンマーク）,-,0,863969,863969
202001,'302,カナダ,81110296,81110296,88137302,88137302
202001,'304,アメリカ合衆国,1052030274,1052030274,682379873,682379873
202001,'305,メキシコ,87746107,87746107,55224220,55224220
202001,'306,グアテマラ,2795871,2795871,1011089,1011089
202001,'307,ホンジュラス,1119715,1119715,370488,370488
202001,'308,ベリーズ,24534,24534,41769,41769
202001,'309,エルサルバドル,1010450,1010450,68310,68310
202001,'310,ニカラグア,251058,251058,165082,165082
202001,'311,コスタリカ,2313947,2313947,3759779,3759779
202001,'312,パナマ,52882888,52882888,2242828,2242828
202001,'314,バーミュダ（英）,71759,71759,-,0
202001,'315,バハマ,3001123,3001123,11758,11758
202001,'316,ジャマイカ,1217663,1217663,109507,109507
202001,'317,タークス及びカイコス諸島（英）,19835,19835,-,0
202001,'319,バルバドス,360123,360123,1613,1613
202001,'320,トリニダード・トバゴ,645407,645407,450049,450049
202001,'321,キューバ,26797,26797,174188,174188
202001,'322,ハイチ,89894,89894,25020,25020
202001,'323,ドミニカ共和国,1721091,1721091,988326,988326
202001,'324,プエルトリコ（米）,4194923,4194923,15410664,15410664
202001,'325,米領バージン諸島,-,0,217,217
202001,'326,蘭領アンティール,204270,204270,-,0
202001,'327,仏領西インド諸島,145642,145642,-,0
202001,'328,ケイマン諸島（英）,106736,106736,225,225
202001,'329,グレナダ,42289,42289,-,0
202001,'330,セントルシア,103311,103311,-,0
202001,'331,アンティグア・バーブーダ,98931,98931,-,0
202001,'332,英領バージン諸島,46163,46163,-,0
202001,'333,ドミニカ,54962,54962,778,778
202001,'334,モントセラト（英）,4628,4628,-,0
202001,'335,セントクリストファー・ネービス,36975,36975,-,0
202001,'336,セントビンセント,27648,27648,-,0
202001,'337,英領アンギラ,4541,4541,-,0
202001,'338,サン・バルテルミー島（仏）,18029,18029,-,0
202001,'401,コロンビア,8931521,8931521,4974898,4974898
202001,'402,ベネズエラ,125160,125160,415448,415448
202001,'403,ガイアナ,542353,542353,14741,14741
202001,'404,スリナム,381547,381547,34705,34705
202001,'405,仏領ギアナ,24326,24326,-,0
202001,'406,エクアドル,3489095,3489095,8219992,8219992
202001,'407,ペルー,7440935,7440935,15760120,15760120
202001,'408,ボリビア,798325,798325,1183909,1183909
202001,'409,チリ,17694142,17694142,59707472,59707472
202001,'410,ブラジル,30352065,30352065,83849725,83849725
202001,'411,パラグアイ,739045,739045,1165618,1165618
202001,'412,ウルグアイ,354864,354864,442191,442191
202001,'413,アルゼンチン,4604726,4604726,6264753,6264753
202001,'414,フォークランド諸島及びその附属諸島（英）,-,0,22486,22486
202001,'501,モロッコ,2472432,2472432,1596471,1596471
202001,'502,セウタ及びメリリア（西）,6133,6133,-,0
202001,'503,アルジェリア,1869370,1869370,1425477,1425477
202001,'504,チュニジア,776817,776817,908218,908218
202001,'505,リビア,229306,229306,1909,1909
202001,'506,エジプト,6987644,6987644,5873725,5873725
202001,'507,スーダン,304971,304971,37312,37312
202001,'509,モーリタニア,273926,273926,2599927,2599927
202001,'510,セネガル,663418,663418,69787,69787
202001,'511,ガンビア,4300,4300,275,275
202001,'513,ギニア,46058,46058,24936,24936
202001,'514,シエラレオネ,10073,10073,1492350,1492350
202001,'515,リベリア,31476231,31476231,464,464
202001,'516,コートジボワール,162377,162377,112723,112723
202001,'517,ガーナ,854422,854422,267497,267497
202001,'518,トーゴ,73304,73304,1032,1032
202001,'519,ベナン,8612,8612,1511,1511
202001,'520,マリ,54726,54726,522,522
202001,'521,ブルキナファソ,10468,10468,2516,2516
202001,'522,カーボベルデ,35777,35777,-,0
202001,'523,カナリー諸島（西）,255041,255041,360,360
202001,'524,ナイジェリア,1357547,1357547,4635012,4635012
202001,'525,ニジェール,14682,14682,4857,4857
202001,'526,ルワンダ,7752,7752,27418,27418
202001,'527,カメルーン,87235,87235,73998,73998
202001,'528,チャド,17479,17479,-,0
202001,'529,中央アフリカ,5019,5019,4577,4577
202001,'530,赤道ギニア,8748,8748,-,0
202001,'531,ガボン,134180,134180,174196,174196
202001,'532,コンゴ共和国,3758,3758,8088,8088
202001,'533,コンゴ民主共和国,404172,404172,280107,280107
202001,'534,ブルンジ,270888,270888,16510,16510
202001,'535,アンゴラ,369182,369182,38095,38095
202001,'536,サントメ・プリンシペ,-,0,1405,1405
202001,'537,セントヘレナ及びその附属諸島（英）,-,0,35194,35194
202001,'538,エチオピア,366647,366647,959244,959244
202001,'539,ジブチ,153473,153473,1219,1219
202001,'540,ソマリア,28914,28914,110336,110336
202001,'541,ケニア,5331077,5331077,547258,547258
202001,'542,ウガンダ,1750564,1750564,99344,99344
202001,'543,タンザニア,2112532,2112532,848203,848203
202001,'544,セーシェル,55690,55690,951925,951925
202001,'545,モザンビーク,570900,570900,1015586,1015586
202001,'546,マダガスカル,42409,42409,1624298,1624298
202001,'547,モーリシャス,781081,781081,59412,59412
202001,'548,レユニオン（仏）,67925,67925,336,336
202001,'549,ジンバブエ,104406,104406,432311,432311
202001,'550,ナミビア,325106,325106,143346,143346
202001,'551,南アフリカ共和国,15015978,15015978,50615478,50615478
202001,'552,レソト,54324,54324,4119,4119
202001,'553,マラウイ,111425,111425,89075,89075
202001,'554,ザンビア,330034,330034,108996,108996
202001,'555,ボツワナ,196847,196847,256169,256169
202001,'556,エスワティニ,168918,168918,9827,9827
202001,'558,コモロ,-,0,2379,2379
202001,'560,南スーダン,93736,93736,-,0
202001,'601,オーストラリア,122374191,122374191,388124242,388124242
202001,'602,パプアニューギニア,1466151,1466151,19567257,19567257
202001,'605,その他のオーストラリア領,415,415,-,0
202001,'606,ニュージーランド,15354066,15354066,18820955,18820955
202001,'607,クック,4862,4862,42041,42041
202001,'609,ニウエ,22000,22000,-,0
202001,'610,サモア,182411,182411,33718,33718
202001,'611,バヌアツ,425926,425926,321444,321444
202001,'612,フィジー,743696,743696,49195,49195
202001,'613,ソロモン,441243,441243,13315,13315
202001,'614,トンガ,12795,12795,8157,8157
202001,'615,キリバス,103385,103385,10357,10357
202001,'617,ナウル,1907,1907,2072,2072
202001,'618,ニューカレドニア（仏）,788047,788047,2919484,2919484
202001,'619,仏領ポリネシア,197945,197945,224812,224812
202001,'620,グアム（米）,2464090,2464090,44328,44328
202001,'621,米領サモア,11091,11091,223,223
202001,'622,米領オセアニア,-,0,10480,10480
202001,'624,ツバル,224564,224564,25120,25120
202001,'625,マーシャル,21865499,21865499,542009,542009
202001,'626,ミクロネシア,70310,70310,12791,12791
202001,'627,北マリアナ諸島（米）,323213,323213,264,264
202001,'628,パラオ,83538,83538,61294,61294
202001,'702,不明,-,0,23176,23176
202002,'103,大韓民国,415480658,788403621,262228879,534756263
202002,'105,中華人民共和国,1136232116,2032778227,674069152,2412024109
202002,'106,台湾,409089591,749167774,224045269,481632989
202002,'107,モンゴル,2783838,5144895,91120,275128
202002,'108,香港,283285618,533674858,6013505,16749379
202002,'110,ベトナム,163845137,283383416,157400178,390835911
202002,'111,タイ,268260114,503813958,216612345,431383669
202002,'112,シンガポール,198956612,367393065,70760458,152162690
202002,'113,マレーシア,130040039,241893656,161742397,353290925
202002,'116,ブルネイ,730276,1335500,27637083,56982102
202002,'117,フィリピン,96451595,182407669,86561375,173596407
202002,'118,インドネシア,112090767,215367139,157145138,321527740
202002,'120,カンボジア,4041044,7660671,16086110,32540075
202002,'121,ラオス,1174922,2466050,1384719,3036773
202002,'122,ミャンマー,6916595,12743288,14900034,28578102
202002,'123,インド,104781354,191568344,50415927,109292032
202002,'124,パキスタン,10945977,20513176,1555665,4579389
202002,'125,スリランカ,8117637,12936456,2477741,5406453
202002,'126,モルディブ,139128,278389,42516,80850
202002,'127,バングラデシュ,14352857,31947657,15425096,30284981
202002,'128,東ティモール,84827,118010,5876,18736
202002,'129,マカオ,1086157,2656846,81674,299719
